AddressID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode,rowguid,ModifiedDate
502,No. 25400 10665 Jasper Avenue,,Edmonton,1,T5,51180CA2-6614-46A5-B89C-EF7B0421C847,2012-06-30 00:00:00
526,251420a 170th Street,,Edmonton,1,T5,476D80AE-69A0-480D-9DF3-8FD0C1095A21,2012-05-30 00:00:00
558,"67255 - 8th Street N.E., Suite 350",,Calgary,1,T2P 2G8,DA596ABB-B3AF-48EC-A082-9E94CD870A5F,2012-10-30 00:00:00
451,2512-4th Ave Sw,,Calgary,1,T2P 2G8,49644F1E-6F90-46D9-8DBB-9DB15F0EF7EC,2012-10-30 00:00:00
505,"6400, 888 - 3rd Avenue",,Calgary,1,T2P 2G8,A6EFF2B6-3B11-47EF-AB7E-701E5041C71C,2011-07-01 00:00:00
16208,1936 Balance Ct,,Calgary,1,T2P 2G8,BFCC99DF-5228-49D0-9AE9-719E760051AD,2012-06-05 00:00:00
13528,5831 Mountain View Place,,Calgary,1,T2P 2G8,8ACAC442-C83D-43E5-BCDF-1ED0C17BB3B8,2013-09-16 00:00:00
21055,8892 Oak Grove Road,,Calgary,1,T2P 2G8,BE629858-D257-47D4-BF1E-2A95F4548D7C,2012-05-26 00:00:00
20116,6155 Vist Oak Dr,,Calgary,1,T2P 2G8,65356084-8002-4796-849D-9B7CE4EE85A0,2012-06-06 00:00:00
15731,4900 La Salle St.,,Calgary,1,T2P 2G8,E77EF72D-5648-4AB1-AE4E-45DBFE4463C9,2013-07-14 00:00:00
487,9259 - 1110th Avenue Sw,,Calgary,1,T2P 2G8,275AC976-0D23-4D97-9F58-BB186D1CC089,2012-07-31 00:00:00
12827,6350 Plumas Court,,Calgary,1,T2P 2G8,FC6C8867-B154-4282-9EFA-9067C211D12D,2014-03-10 00:00:00
19745,4605 Springvale Court,,Calgary,1,T2P 2G8,1970EE8B-6DF3-4B41-ADAD-DF24A077CB1D,2013-11-15 00:00:00
546,"250333 Southport Road, S.W.",,Calgary,1,T2P 2G8,11D29E3F-D9B2-4E24-AC01-EEBA72DA4DDF,2013-06-30 00:00:00
20011,1273 Deetmeadow Way,,Calgary,1,T2P 2G8,A867037B-F124-4ACA-8DA7-BBC1358ACCD5,2013-12-23 00:00:00
553,"253131 Lake Frasier Drive, Office No. 2",,Calgary,1,T2P 2G8,EF7B5BD3-3A04-4A09-A0D2-02B98E3333DC,2011-07-01 00:00:00
13975,6827 Glaze Dr.,,Calgary,1,T2P 2G8,C54207F5-5FD8-4D67-8706-F776AB140D86,2011-11-18 00:00:00
22266,3962 Clyde Street,,Calgary,1,T2P 2G8,53C376B7-F0D0-43AB-BC95-D97B66F8248E,2013-10-13 00:00:00
467,25900-700-9th Ave S.W.,,Calgary,1,T2P 2G8,13560188-CE4A-470D-9913-49903047D459,2011-10-01 00:00:00
21858,5860 Rock Creek Pl.,,Calgary,1,T2P 2G8,8A337E13-1D1E-4EFC-B182-90797206278E,2014-05-07 00:00:00
504,Suite 99320 255 - 510th Avenue S.W.,,Calgary,1,T2P 2G8,CFF7437F-6830-4797-875B-D9A54EA38975,2011-07-01 00:00:00
466,655-4th Ave S.W.,,Calgary,1,T2P 2G8,09C5F0BA-7128-4455-832D-0DF587248A5A,2011-07-01 00:00:00
33,10203 Acorn Avenue,,Calgary,1,T2P 2G8,237986D3-0F02-4D59-9B2E-6B1A6B5A6185,2011-05-24 00:00:00
475,2512-410th Avenue S.W.,,Calgary,1,T2P 2G8,EC6C99B9-61E2-4400-8180-208F5A6C7EFF,2013-07-31 00:00:00
519,2500-622 5th Ave Sw,,Calgary,1,T2P 2G8,13754965-6A09-4343-968C-8699C27FDFAA,2012-06-30 00:00:00
18752,3235 Mi Casa Court,,Birmingham,3,35203,03ACBCEB-6067-4300-A158-056805379B09,2013-10-14 00:00:00
940,7725 Luddington Lane,,Birmingham,3,35203,0DD614CC-E758-41B7-A155-0A7E4DEC1569,2012-06-30 00:00:00
932,656 Cox Creek Pkwy.,,Florence,3,35630,4AAB7CCF-B2D5-499E-9006-595AD3258473,2012-06-30 00:00:00
951,Parkway City Mall,,Huntsville,3,35801,22C05101-33DA-42ED-A94B-07D89B10D521,2012-05-30 00:00:00
912,2525 Electrics Blvd.,,Huntsville,3,35801,B921D1CF-AC62-4B78-9774-99FF67C59F90,2013-07-31 00:00:00
944,574 Atlanta Highway,,Montgomery,3,36104,3CEA0BB0-41AB-4CC3-BAB1-004C833343D9,2013-05-30 00:00:00
929,39950 Airport Blvd.,,Mobile,3,36602,6551AA8A-60BA-40EF-827C-1575AFEB389C,2011-08-01 00:00:00
1060,Arcadia Crossing,,Phoenix,6,85004,CC91297C-567B-4186-96C8-2BA6F0875E73,2012-05-30 00:00:00
1066,Prime Outlets,,Phoenix,6,85004,BD687691-297F-4B72-9465-C8DBD0F8E2EE,2011-08-01 00:00:00
319,137 Lancelot Dr,,Phoenix,6,85004,CEAD54D8-D6B8-4261-8CA1-9CC3599903D1,2012-01-25 00:00:00
1068,7709 West Virginia Avenue,,Phoenix,6,85004,B8184C93-A8DE-4321-B381-1BABC7088D60,2012-05-30 00:00:00
28,9228 Via Del Sol,,Phoenix,6,85004,12AE5EE1-FC3E-468B-9B92-3B970B169774,2011-08-01 00:00:00
1065,Factory Stores Of America,,Mesa,6,85201,1B96D3A3-ED06-482F-A813-7136E5AAA57D,2012-07-31 00:00:00
1023,870 N. 54th Ave.,,Chandler,6,85225,26D3A3EC-3D51-493E-A541-A0CC80B54F35,2013-05-30 00:00:00
26956,4584 Hamiliton Ave.,,Chandler,6,85225,BA88DE55-AB5F-4A4F-B2AA-C17805BDD5B0,2013-09-03 00:00:00
24772,7656 Ramsey Circle,,Chandler,6,85225,706A77A3-2E6E-4F7D-A8BE-21C79B31E419,2013-04-21 00:00:00
1095,9980 S Alma School Road,,Chandler,6,85225,B09B3F8E-89F2-4528-9578-53CBCF805B4A,2012-12-31 00:00:00
1082,2551 East Warner Road,,Gilbert,6,85233,D88AFBDA-B59B-496E-BA6D-B3B2356574FF,2013-06-30 00:00:00
345,6441 Co Road,,Lemon Grove,6,85252,CC525920-52FA-48DE-995C-7194ACD4C5AF,2012-01-25 00:00:00
1094,25250 N 90th St,,Scottsdale,6,85257,3E024D96-B7D3-4622-AB9B-0724B91B7832,2011-08-01 00:00:00
1093,7750 E Marching Rd,,Scottsdale,6,85257,F181458A-B5A3-4944-B7B1-73DCAD67C14E,2013-06-30 00:00:00
349,3294 Buena Vista,,Lemon Grove,6,85284,0D5E88BC-5FEC-4E1B-AC81-F13D2CA01BC0,2012-02-03 00:00:00
1087,253731 West Bell Road,,Surprise,6,85374,4BA77E6A-4A47-4BFE-8AEB-DBFEA179795D,2012-06-30 00:00:00
1062,Factory Stores/tucson,,Tucson,6,85701,C15ECA9A-6054-40E4-8D09-D4341AABCE2D,2011-08-01 00:00:00
1072,6500 East Grant Road,,Tucson,6,85701,B9265D45-3FED-4B7D-AEEA-00D0E54B3CC7,2013-07-31 00:00:00
12228,9276 Blackwood Drive,,Sooke,7,V0,7174F35D-7BBE-4377-9334-78EFB49FBC93,2014-01-24 00:00:00
